divisie,team1,team2,datum,scheidsrechter,stadion,bezoekersaantal,uitslag,overtredingen
Promotieklasse,HC Oranje-Rood,Nijeveen UHC,06/12/2024,van der Ploeg,Macharen Olympic Stadium,2073,0-0,1
Promotieklasse,HC Oranje-Rood,Chaam UHC,20/12/2024,Broeshart,Maasbracht Olympic Stadium,21924,8-4,6
Promotieklasse,UHC Moorveld,UHC Appeltern,18/12/2024,van Arkel,Baexem Olympic Stadium,25238,8-0,3
Promotieklasse,UHC Moorveld,HC Oranje-Rood,03/12/2024,Broeshart,Baexem Olympic Stadium,13589,1-5,0
Promotieklasse,UHC Moorveld,Reading Hockey Club,28/12/2024,Louws,Baexem Olympic Stadium,22946,6-3,47
Promotieklasse,UHC Moorveld,UHC Akersloot,10/12/2024,van Arkel,Hoornaar Arena,255,5-1,2
Promotieklasse,UHC Moorveld,HC De Meern,01/12/2024,Smits,Hoofdplaat Stadium,5477,7-4,3
Promotieklasse,UHC Moorveld,Waterloo Ducks,12/12/2024,Amalrada,Soesterberg Park,9532,4-4,8
Promotieklasse,UHC Moorveld,UHC Stiens,25/12/2024,Broeshart,Anerveen Olympic Stadium,28811,2-8,4
Promotieklasse,UHC Moorveld,Amsterdamsche Hockey & Bandey Club,13/12/2024,Broekhoven,Hoofdplaat Stadium,559,0-7,2
Promotieklasse,UHC Moorveld,UHC Woerdense Verlaat,12/12/2024,Amalrada,Ressen Stadium,17050,7-7,3
Promotieklasse,UHC Moorveld,Kampong,11/12/2024,Ouwel,Doenrade Arena,5111,2-2,6
Promotieklasse,UHC Moorveld,HC Beetsterzwaag,07/12/2024,Ouwel,Anerveen Olympic Stadium,5572,0-4,0
Promotieklasse,UHC Moorveld,HC Hilversum,04/12/2024,Ouwel,Ressen Stadium,18891,8-0,4
Promotieklasse,UHC Moorveld,Harvestehuder THC,12/12/2024,van der Ploeg,Zwaag Olympic Stadium,12823,8-6,3
Promotieklasse,UHC Moorveld,HC Frederiksoord,01/12/2024,Broeshart,Dinxperlo Stadium,7605,2-5,2
Promotieklasse,UHC Moorveld,Bunschoten-Spakenburg HC,11/12/2024,van der Ploeg,Doenrade Arena,13023,5-3,3
Promotieklasse,UHC Moorveld,Hoedekenskerke HC,15/12/2024,Broeshart,Hoofdplaat Stadium,21850,5-7,6
Promotieklasse,UHC Moorveld,Dirkshorn UHC,12/12/2024,Broeshart,Baexem Olympic Stadium,5753,4-8,0
Promotieklasse,UHC Moorveld,Nijeveen UHC,20/12/2024,Ramaker,Kamerik Stadion,7803,7-0,3
Promotieklasse,UHC Moorveld,Chaam UHC,05/12/2024,Ouwel,Dinxperlo Stadium,17560,3-2,75
Promotieklasse,Reading Hockey Club,UHC Appeltern,11/12/2024,Smits,Baexem Olympic Stadium,10867,2-4,2
Promotieklasse,Reading Hockey Club,HC Oranje-Rood,11/12/2024,Ouwel,Borssele Olympic Stadium,23300,0-8,1
Promotieklasse,Reading Hockey Club,UHC Moorveld,02/12/2024,Amalrada,'t Veld Arena,28165,0-0,8
Promotieklasse,Reading Hockey Club,UHC Akersloot,30/12/2024,van der Ploeg,Baexem Olympic Stadium,25597,6-6,2
Promotieklasse,Reading Hockey Club,HC De Meern,13/12/2024,van der Ploeg,Rotterdam Park,17382,3-7,10
Promotieklasse,Reading Hockey Club,Waterloo Ducks,23/12/2024,Amalrada,Soesterberg Park,11720,7-7,3
Promotieklasse,Reading Hockey Club,UHC Stiens,06/12/2024,Ouwel,Hoofdplaat Stadium,19943,7-7,0
Promotieklasse,Reading Hockey Club,Amsterdamsche Hockey & Bandey Club,13/12/2024,Recers,Rotterdam Park,13397,1-4,96
Promotieklasse,Reading Hockey Club,UHC Woerdense Verlaat,04/12/2024,Ouwel,Macharen Olympic Stadium,4467,6-7,0
Promotieklasse,Reading Hockey Club,Kampong,25/12/2024,Broeshart,Borssele Olympic Stadium,28767,7-6,3
Promotieklasse,Reading Hockey Club,HC Beetsterzwaag,25/12/2024,van der Ploeg,Putten Stadium,24394,7-3,6
Promotieklasse,Reading Hockey Club,HC Hilversum,20/12/2024,van der Ploeg,Putten Stadium,21920,5-3,9
Promotieklasse,Reading Hockey Club,Harvestehuder THC,17/12/2024,Louws,Hoofdplaat Stadium,23845,0-5,0
Promotieklasse,Reading Hockey Club,HC Frederiksoord,19/12/2024,Ouwel,'t Veld Arena,9457,0-8,2
Promotieklasse,Reading Hockey Club,Bunschoten-Spakenburg HC,07/12/2024,Smits,Rotterdam Park,14382,1-0,8
Promotieklasse,Reading Hockey Club,Hoedekenskerke HC,12/12/2024,van Arkel,Hoofdplaat Stadium,16409,4-6,0
Promotieklasse,Reading Hockey Club,Dirkshorn UHC,27/12/2024,Broekhoven,Noordwijkerhout Park,12881,3-0,10
Promotieklasse,Reading Hockey Club,Nijeveen UHC,05/12/2024,Smits,Kamerik Stadion,15461,1-7,2
Promotieklasse,Reading Hockey Club,Chaam UHC,21/12/2024,Smits,Zwijndrecht Park,4413,2-8,3
Promotieklasse,UHC Akersloot,UHC Appeltern,04/12/2024,Louws,Maasbracht Olympic Stadium,17509,3-4,5
Promotieklasse,UHC Akersloot,HC Oranje-Rood,28/12/2024,Louws,Macharen Olympic Stadium,7231,2-1,9
Promotieklasse,UHC Akersloot,UHC Moorveld,30/12/2024,Louws,Eexterveen Olympic Stadium,2009,4-4,0
Promotieklasse,UHC Akersloot,Reading Hockey Club,10/12/2024,Amalrada,Rotterdam Park,6516,6-5,1
Promotieklasse,UHC Akersloot,HC De Meern,22/12/2024,Ramaker,Ferwoude Park,19219,0-2,22
Promotieklasse,UHC Akersloot,Waterloo Ducks,28/12/2024,Ramaker,Zwijndrecht Park,28768,7-3,0
Promotieklasse,UHC Akersloot,UHC Stiens,17/12/2024,Ramaker,Maasbracht Olympic Stadium,9186,3-5,4
Promotieklasse,UHC Akersloot,Amsterdamsche Hockey & Bandey Club,15/12/2024,Recers,Zwijndrecht Park,7942,8-3,0
Promotieklasse,UHC Akersloot,UHC Woerdense Verlaat,08/12/2024,van Arkel,Borssele Olympic Stadium,6600,0-1,1
Promotieklasse,UHC Akersloot,Kampong,26/12/2024,Ouwel,Zwaag Olympic Stadium,6049,3-8,4
Promotieklasse,UHC Akersloot,HC Beetsterzwaag,13/12/2024,van der Ploeg,Borssele Olympic Stadium,24913,4-2,10
Promotieklasse,UHC Akersloot,HC Hilversum,10/12/2024,Louws,Soesterberg Park,2956,8-3,2
Promotieklasse,UHC Akersloot,Harvestehuder THC,04/12/2024,Broekhoven,Hoornaar Arena,11731,4-3,57
Promotieklasse,UHC Akersloot,HC Frederiksoord,09/12/2024,van Arkel,Doenrade Arena,15507,5-6,5
Promotieklasse,UHC Akersloot,Bunschoten-Spakenburg HC,16/12/2024,Louws,Ferwoude Park,14597,6-7,0
Promotieklasse,UHC Akersloot,Hoedekenskerke HC,18/12/2024,Broeshart,Noordwijkerhout Park,20604,8-2,6
Promotieklasse,UHC Akersloot,Dirkshorn UHC,30/12/2024,van der Ploeg,Anerveen Olympic Stadium,5872,6-7,0
Promotieklasse,UHC Akersloot,Nijeveen UHC,23/12/2024,Ouwel,Zwaag Olympic Stadium,15973,4-3,2
Promotieklasse,UHC Akersloot,Chaam UHC,17/12/2024,Broekhoven,Noordwijkerhout Park,25949,6-8,8
Promotieklasse,HC De Meern,UHC Appeltern,02/12/2024,Ramaker,Ressen Stadium,26866,7-6,6
Promotieklasse,HC De Meern,HC Oranje-Rood,25/12/2024,van der Ploeg,Macharen Olympic Stadium,12224,7-7,1
Promotieklasse,HC De Meern,UHC Moorveld,30/12/2024,Broekhoven,Maasbracht Olympic Stadium,15914,5-0,9
Promotieklasse,HC De Meern,Reading Hockey Club,18/12/2024,Louws,Maasbracht Olympic Stadium,29684,0-7,4
Promotieklasse,HC De Meern,UHC Akersloot,14/12/2024,Broekhoven,Putten Stadium,15706,7-1,0
Promotieklasse,HC De Meern,Waterloo Ducks,01/12/2024,Smits,Kamerik Stadion,15962,6-8,2
Promotieklasse,HC De Meern,UHC Stiens,08/12/2024,van der Ploeg,Hoornaar Arena,17934,7-3,2
Promotieklasse,HC De Meern,Amsterdamsche Hockey & Bandey Club,16/12/2024,Louws,Maasbracht Olympic Stadium,10247,7-1,2
Promotieklasse,HC De Meern,UHC Woerdense Verlaat,28/12/2024,Smits,Dinxperlo Stadium,8461,7-5,4
Promotieklasse,HC De Meern,Kampong,14/12/2024,Recers,Anerveen Olympic Stadium,12466,6-8,86
Promotieklasse,HC De Meern,HC Beetsterzwaag,14/12/2024,van Arkel,Ferwoude Park,9550,6-8,1
Promotieklasse,HC De Meern,HC Hilversum,04/12/2024,Amalrada,Borssele Olympic Stadium,24797,2-6,2
Promotieklasse,HC De Meern,Harvestehuder THC,23/12/2024,Recers,Rotterdam Park,20495,1-7,0
Promotieklasse,HC De Meern,HC Frederiksoord,12/12/2024,van Arkel,Ferwoude Park,11278,4-0,0
Promotieklasse,HC De Meern,Bunschoten-Spakenburg HC,27/12/2024,van Arkel,Borssele Olympic Stadium,9564,2-8,7
Promotieklasse,HC De Meern,Hoedekenskerke HC,08/12/2024,Louws,'t Veld Arena,165,6-3,8
Promotieklasse,HC De Meern,Dirkshorn UHC,01/12/2024,Amalrada,Anerveen Olympic Stadium,11126,4-6,2
Promotieklasse,HC De Meern,Nijeveen UHC,08/12/2024,Ramaker,Baexem Olympic Stadium,9060,6-6,12
Promotieklasse,HC De Meern,Chaam UHC,06/12/2024,Smits,Anerveen Olympic Stadium,13038,1-4,5
Promotieklasse,Waterloo Ducks,UHC Appeltern,16/12/2024,Amalrada,Ferwoude Park,9873,7-4,2
Promotieklasse,Waterloo Ducks,HC Oranje-Rood,14/12/2024,Smits,Anerveen Olympic Stadium,11407,1-6,6
Promotieklasse,Waterloo Ducks,UHC Moorveld,03/12/2024,van Arkel,Doenrade Arena,9310,4-7,6
Promotieklasse,Waterloo Ducks,Reading Hockey Club,06/12/2024,van Arkel,Rotterdam Park,24318,2-0,1
Promotieklasse,Waterloo Ducks,UHC Akersloot,20/12/2024,Broeshart,Zwaag Olympic Stadium,25967,2-1,10
Promotieklasse,Waterloo Ducks,HC De Meern,09/12/2024,Ramaker,Putten Stadium,7252,2-0,9
Promotieklasse,Waterloo Ducks,UHC Stiens,19/12/2024,Broekhoven,Zwijndrecht Park,9716,0-5,3
Promotieklasse,Waterloo Ducks,Amsterdamsche Hockey & Bandey Club,02/12/2024,Smits,'t Veld Arena,12933,0-7,2
Promotieklasse,Waterloo Ducks,UHC Woerdense Verlaat,12/12/2024,Broeshart,Soesterberg Park,25721,4-8,6
Promotieklasse,Waterloo Ducks,Kampong,16/12/2024,Ramaker,Dinxperlo Stadium,17319,7-3,2
Promotieklasse,Waterloo Ducks,HC Beetsterzwaag,08/12/2024,Ramaker,Baexem Olympic Stadium,28701,2-0,4
Promotieklasse,Waterloo Ducks,HC Hilversum,04/12/2024,Broeshart,'t Veld Arena,16035,1-2,10
Promotieklasse,Waterloo Ducks,Harvestehuder THC,22/12/2024,Smits,Ressen Stadium,2990,8-6,1
Promotieklasse,Waterloo Ducks,HC Frederiksoord,06/12/2024,Broekhoven,Macharen Olympic Stadium,9652,1-6,8
Promotieklasse,Waterloo Ducks,Bunschoten-Spakenburg HC,27/12/2024,Amalrada,Hoornaar Arena,23628,2-0,96
Promotieklasse,Waterloo Ducks,Hoedekenskerke HC,29/12/2024,Ouwel,Soesterberg Park,22112,8-8,0
Promotieklasse,Waterloo Ducks,Dirkshorn UHC,15/12/2024,Ouwel,Putten Stadium,11729,4-8,5
Promotieklasse,Waterloo Ducks,Nijeveen UHC,18/12/2024,Broekhoven,Zwijndrecht Park,13609,0-0,7
Promotieklasse,Waterloo Ducks,Chaam UHC,11/12/2024,Ramaker,Putten Stadium,2645,6-6,0
Promotieklasse,UHC Stiens,UHC Appeltern,14/12/2024,van der Ploeg,Dinxperlo Stadium,6732,1-2,6
Promotieklasse,UHC Stiens,HC Oranje-Rood,12/12/2024,Recers,Noordwijkerhout Park,25914,6-4,4
Promotieklasse,UHC Stiens,UHC Moorveld,12/12/2024,van der Ploeg,Dinxperlo Stadium,26433,7-3,2
Promotieklasse,UHC Stiens,Reading Hockey Club,29/12/2024,Broekhoven,Rotterdam Park,13119,3-5,83
Promotieklasse,UHC Stiens,UHC Akersloot,27/12/2024,Smits,Doenrade Arena,2338,5-1,0
Promotieklasse,UHC Stiens,HC De Meern,12/12/2024,Recers,Maasbracht Olympic Stadium,23310,3-8,2
Promotieklasse,UHC Stiens,Waterloo Ducks,23/12/2024,Louws,Borssele Olympic Stadium,22290,7-5,5
Promotieklasse,UHC Stiens,Amsterdamsche Hockey & Bandey Club,22/12/2024,Smits,Zwaag Olympic Stadium,27243,7-6,7
Promotieklasse,UHC Stiens,UHC Woerdense Verlaat,28/12/2024,Amalrada,Baexem Olympic Stadium,4463,6-4,0
Promotieklasse,UHC Stiens,Kampong,19/12/2024,Recers,Baexem Olympic Stadium,19734,1-7,1
Promotieklasse,UHC Stiens,HC Beetsterzwaag,16/12/2024,Ouwel,Zwaag Olympic Stadium,10049,7-3,6
Promotieklasse,UHC Stiens,HC Hilversum,17/12/2024,Smits,Anerveen Olympic Stadium,25522,5-7,3
Promotieklasse,UHC Stiens,Harvestehuder THC,02/12/2024,Amalrada,Macharen Olympic Stadium,9690,5-5,9
Promotieklasse,UHC Stiens,HC Frederiksoord,21/12/2024,Smits,Zwijndrecht Park,11301,6-2,8
Promotieklasse,UHC Stiens,Bunschoten-Spakenburg HC,06/12/2024,Amalrada,Baexem Olympic Stadium,8819,0-3,3
Promotieklasse,UHC Stiens,Hoedekenskerke HC,22/12/2024,Ouwel,Soesterberg Park,28910,7-0,0
Promotieklasse,UHC Stiens,Dirkshorn UHC,29/12/2024,Broekhoven,Ressen Stadium,20244,6-2,5
Promotieklasse,UHC Stiens,Nijeveen UHC,03/12/2024,Ramaker,Hoornaar Arena,12607,1-2,3
Promotieklasse,UHC Stiens,Chaam UHC,09/12/2024,Ramaker,Hoofdplaat Stadium,27036,6-1,0
Promotieklasse,Amsterdamsche Hockey & Bandey Club,UHC Appeltern,02/12/2024,van der Ploeg,Doenrade Arena,19769,3-0,61
Promotieklasse,Amsterdamsche Hockey & Bandey Club,HC Oranje-Rood,10/12/2024,Amalrada,Kamerik Stadion,23514,1-4,1
Promotieklasse,Amsterdamsche Hockey & Bandey Club,UHC Moorveld,16/12/2024,Broekhoven,Noordwijkerhout Park,18954,6-3,9
Promotieklasse,Amsterdamsche Hockey & Bandey Club,Reading Hockey Club,01/12/2024,Ramaker,Ressen Stadium,9236,2-8,1
Promotieklasse,Amsterdamsche Hockey & Bandey Club,UHC Akersloot,11/12/2024,Amalrada,Eexterveen Olympic Stadium,14247,4-2,0
Promotieklasse,Amsterdamsche Hockey & Bandey Club,HC De Meern,04/12/2024,Broeshart,Kamerik Stadion,3997,1-4,0
Promotieklasse,Amsterdamsche Hockey & Bandey Club,Waterloo Ducks,10/12/2024,Ramaker,Macharen Olympic Stadium,12334,5-1,6
Promotieklasse,Amsterdamsche Hockey & Bandey Club,UHC Stiens,27/12/2024,van Arkel,'t Veld Arena,6920,6-6,3
Promotieklasse,Amsterdamsche Hockey & Bandey Club,UHC Woerdense Verlaat,03/12/2024,Amalrada,Kamerik Stadion,5655,6-0,56
Promotieklasse,Amsterdamsche Hockey & Bandey Club,Kampong,25/12/2024,Amalrada,Noordwijkerhout Park,25070,8-8,0
Promotieklasse,Amsterdamsche Hockey & Bandey Club,HC Beetsterzwaag,17/12/2024,van Arkel,Putten Stadium,21675,8-6,0
Promotieklasse,Amsterdamsche Hockey & Bandey Club,HC Hilversum,28/12/2024,van Arkel,Eexterveen Olympic Stadium,5594,0-7,3
Promotieklasse,Amsterdamsche Hockey & Bandey Club,Harvestehuder THC,19/12/2024,Smits,Baexem Olympic Stadium,9619,5-1,0
Promotieklasse,Amsterdamsche Hockey & Bandey Club,HC Frederiksoord,04/12/2024,van Arkel,Dinxperlo Stadium,9585,7-0,1
Promotieklasse,Amsterdamsche Hockey & Bandey Club,Bunschoten-Spakenburg HC,16/12/2024,Smits,'t Veld Arena,14447,2-0,8
Promotieklasse,Amsterdamsche Hockey & Bandey Club,Hoedekenskerke HC,29/12/2024,Amalrada,Soesterberg Park,19786,0-6,4
Promotieklasse,Amsterdamsche Hockey & Bandey Club,Dirkshorn UHC,11/12/2024,Ramaker,Baexem Olympic Stadium,4807,2-6,1
Promotieklasse,Amsterdamsche Hockey & Bandey Club,Nijeveen UHC,01/12/2024,Broeshart,Eexterveen Olympic Stadium,3518,4-4,0
Promotieklasse,Amsterdamsche Hockey & Bandey Club,Chaam UHC,08/12/2024,Recers,Dinxperlo Stadium,15103,3-7,6
Promotieklasse,UHC Woerdense Verlaat,UHC Appeltern,30/12/2024,van der Ploeg,Borssele Olympic Stadium,8596,8-3,3
Promotieklasse,UHC Woerdense Verlaat,HC Oranje-Rood,23/12/2024,Ouwel,Maasbracht Olympic Stadium,28935,1-5,6
Promotieklasse,UHC Woerdense Verlaat,UHC Moorveld,09/12/2024,van Arkel,Ferwoude Park,19514,7-1,1
Promotieklasse,UHC Woerdense Verlaat,Reading Hockey Club,22/12/2024,Broekhoven,Doenrade Arena,6426,7-7,0
Promotieklasse,UHC Woerdense Verlaat,UHC Akersloot,20/12/2024,Recers,'t Veld Arena,1079,0-7,10
Promotieklasse,UHC Woerdense Verlaat,HC De Meern,16/12/2024,Smits,Baexem Olympic Stadium,28440,0-1,71
Promotieklasse,UHC Woerdense Verlaat,Waterloo Ducks,12/12/2024,van Arkel,Anerveen Olympic Stadium,15393,6-5,2
Promotieklasse,UHC Woerdense Verlaat,UHC Stiens,04/12/2024,van der Ploeg,Zwijndrecht Park,26081,3-0,10
Promotieklasse,UHC Woerdense Verlaat,Amsterdamsche Hockey & Bandey Club,03/12/2024,van Arkel,Anerveen Olympic Stadium,16107,6-7,5
Promotieklasse,UHC Woerdense Verlaat,Kampong,25/12/2024,Smits,Borssele Olympic Stadium,20682,5-3,0
Promotieklasse,UHC Woerdense Verlaat,HC Beetsterzwaag,09/12/2024,Ramaker,Doenrade Arena,26018,3-8,6
Promotieklasse,UHC Woerdense Verlaat,HC Hilversum,18/12/2024,Broekhoven,Hoofdplaat Stadium,28346,6-3,5
Promotieklasse,UHC Woerdense Verlaat,Harvestehuder THC,27/12/2024,Broeshart,Putten Stadium,4739,4-7,0
Promotieklasse,UHC Woerdense Verlaat,HC Frederiksoord,30/12/2024,Ramaker,Doenrade Arena,1236,5-3,30
Promotieklasse,UHC Woerdense Verlaat,Bunschoten-Spakenburg HC,19/12/2024,Ramaker,Zwaag Olympic Stadium,3689,1-7,8
Promotieklasse,UHC Woerdense Verlaat,Hoedekenskerke HC,19/12/2024,van Arkel,Macharen Olympic Stadium,3303,3-3,3
Promotieklasse,UHC Woerdense Verlaat,Dirkshorn UHC,08/12/2024,Smits,Putten Stadium,8177,6-2,6
Promotieklasse,UHC Woerdense Verlaat,Nijeveen UHC,14/12/2024,Louws,Ressen Stadium,25737,6-3,4
Promotieklasse,UHC Woerdense Verlaat,Chaam UHC,24/12/2024,Louws,Baexem Olympic Stadium,8157,8-8,1
Promotieklasse,Kampong,UHC Appeltern,23/12/2024,Smits,Zwijndrecht Park,7277,7-8,6
Promotieklasse,Kampong,HC Oranje-Rood,06/12/2024,van der Ploeg,'t Veld Arena,492,2-3,5
Promotieklasse,Kampong,UHC Moorveld,20/12/2024,van der Ploeg,Eexterveen Olympic Stadium,150,8-1,3
Promotieklasse,Kampong,Reading Hockey Club,28/12/2024,Amalrada,Hoornaar Arena,25443,5-0,7
Promotieklasse,Kampong,UHC Akersloot,15/12/2024,van der Ploeg,Hoofdplaat Stadium,15698,5-0,5
Promotieklasse,Kampong,HC De Meern,03/12/2024,Amalrada,Baexem Olympic Stadium,874,1-7,1
Promotieklasse,Kampong,Waterloo Ducks,15/12/2024,Ouwel,Ressen Stadium,18893,7-0,0
Promotieklasse,Kampong,UHC Stiens,27/12/2024,Recers,Kamerik Stadion,8845,6-2,2
Promotieklasse,Kampong,Amsterdamsche Hockey & Bandey Club,20/12/2024,Smits,Zwijndrecht Park,14302,8-8,0
Promotieklasse,Kampong,UHC Woerdense Verlaat,09/12/2024,Broekhoven,Zwijndrecht Park,7782,1-5,10
Promotieklasse,Kampong,HC Beetsterzwaag,26/12/2024,Louws,Macharen Olympic Stadium,19797,2-1,53
Promotieklasse,Kampong,HC Hilversum,05/12/2024,Ramaker,Dinxperlo Stadium,20822,3-2,0
Promotieklasse,Kampong,Harvestehuder THC,20/12/2024,Broekhoven,Noordwijkerhout Park,20476,3-5,8
Promotieklasse,Kampong,HC Frederiksoord,30/12/2024,Broekhoven,Hoornaar Arena,4663,0-5,7
Promotieklasse,Kampong,Bunschoten-Spakenburg HC,08/12/2024,Recers,Maasbracht Olympic Stadium,10799,7-5,3
Promotieklasse,Kampong,Hoedekenskerke HC,18/12/2024,van der Ploeg,Macharen Olympic Stadium,15856,1-7,7
Promotieklasse,Kampong,Dirkshorn UHC,20/12/2024,Ramaker,Zwijndrecht Park,2142,2-2,2
Promotieklasse,Kampong,Nijeveen UHC,20/12/2024,Broekhoven,Ferwoude Park,13796,1-4,0
Promotieklasse,Kampong,Chaam UHC,29/12/2024,Louws,Soesterberg Park,25614,3-4,99
Promotieklasse,HC Beetsterzwaag,UHC Appeltern,05/12/2024,Broekhoven,Hoofdplaat Stadium,7681,4-4,9
Promotieklasse,HC Beetsterzwaag,HC Oranje-Rood,10/12/2024,van Arkel,Hoofdplaat Stadium,21501,1-3,3
Promotieklasse,HC Beetsterzwaag,UHC Moorveld,05/12/2024,Smits,'t Veld Arena,10430,2-2,7
Promotieklasse,HC Beetsterzwaag,Reading Hockey Club,05/12/2024,Broekhoven,Doenrade Arena,11044,6-1,7
Promotieklasse,HC Beetsterzwaag,UHC Akersloot,14/12/2024,van der Ploeg,Hoofdplaat Stadium,25575,1-4,0
Promotieklasse,HC Beetsterzwaag,HC De Meern,30/12/2024,Ramaker,Dinxperlo Stadium,9682,4-7,8
Promotieklasse,HC Beetsterzwaag,Waterloo Ducks,04/12/2024,Ramaker,Doenrade Arena,8507,2-0,3
Promotieklasse,HC Beetsterzwaag,UHC Stiens,16/12/2024,Ouwel,Zwaag Olympic Stadium,24722,1-2,3
Promotieklasse,HC Beetsterzwaag,Amsterdamsche Hockey & Bandey Club,25/12/2024,Amalrada,'t Veld Arena,17479,7-4,0
Promotieklasse,HC Beetsterzwaag,UHC Woerdense Verlaat,21/12/2024,Broekhoven,Hoornaar Arena,24946,6-2,5
Promotieklasse,HC Beetsterzwaag,Kampong,29/12/2024,Amalrada,Baexem Olympic Stadium,7425,1-0,2
Promotieklasse,HC Beetsterzwaag,HC Hilversum,01/12/2024,Broeshart,Eexterveen Olympic Stadium,20247,2-1,10
Promotieklasse,HC Beetsterzwaag,Harvestehuder THC,21/12/2024,Broekhoven,Kamerik Stadion,20664,0-8,6
Promotieklasse,HC Beetsterzwaag,HC Frederiksoord,08/12/2024,Broekhoven,Zwijndrecht Park,8569,4-6,0
Promotieklasse,HC Beetsterzwaag,Bunschoten-Spakenburg HC,09/12/2024,van Arkel,Eexterveen Olympic Stadium,17123,3-1,4
