divisie,team1,team2,datum,scheidsrechter,stadion,bezoekersaantal,uitslag,overtredingen
Eerste klasse,Reading Hockey Club,Nijemirdum UHC,08/12/2024,Kalman,Woudsend Park,2428,7-2,2
Eerste klasse,Reading Hockey Club,Wieringerwaard HC,03/12/2024,de Heer,Tripscompagnie Stadion,14436,5-8,8
Eerste klasse,Reading Hockey Club,Abbega UHC,07/12/2024,Bertho,Haghorst Stadion,9278,3-1,0
Eerste klasse,Reading Hockey Club,Wekerom HC,25/12/2024,van Schevinghuizen,Markenbinnen Park,17918,6-6,6
Eerste klasse,Reading Hockey Club,Voorthuizen UHC,08/12/2024,van Rheineck,Rijswijk Stadium,23252,1-2,44
Eerste klasse,Reading Hockey Club,Waterloo Ducks,29/12/2024,van de Wal,Zuidoostbeemster Stadion,22618,5-0,2
Eerste klasse,Reading Hockey Club,Amsterdamsche Hockey & Bandey Club,26/12/2024,van de Wal,Oost-Graftdijk Olympic Stadium,28464,8-2,6
Eerste klasse,Reading Hockey Club,Hartwerd UHC,09/12/2024,van Rheineck,Kerkrade Olympic Stadium,26886,4-1,9
Eerste klasse,Reading Hockey Club,UHC Hamburg,27/12/2024,van Loon,Gerkesklooster Park,21933,1-7,1
Eerste klasse,Reading Hockey Club,HOC Gazellen-Combinatie,22/12/2024,Lankle,Gerkesklooster Park,18143,6-4,2
Eerste klasse,Reading Hockey Club,Harvestehuder THC,07/12/2024,Hulst,Haarlo Arena,3985,0-5,4
Eerste klasse,Reading Hockey Club,Club de Campo,20/12/2024,van Schevinghuizen,Markenbinnen Park,20786,8-7,0
Eerste klasse,Reading Hockey Club,HC Vinkeveen,17/12/2024,Bertho,Rijswijk Stadium,3604,1-2,33
Eerste klasse,Reading Hockey Club,Rot-Weiss Köln,01/12/2024,de Heer,Kiel-Windeweer Stadion,6625,4-5,10
Eerste klasse,Reading Hockey Club,HC IJlst,30/12/2024,Hulst,Kiel-Windeweer Stadion,10513,1-3,2
Eerste klasse,Reading Hockey Club,UHC Wolfheze,22/12/2024,Hulst,Rutten Arena,778,3-5,1
Eerste klasse,Reading Hockey Club,UHC Nijkerkerveen,25/12/2024,van de Wal,Aartswoud Park,17548,8-6,10
Eerste klasse,Reading Hockey Club,Schipborg UHC,08/12/2024,Bertho,Kiel-Windeweer Stadion,27903,8-0,1
Eerste klasse,Reading Hockey Club,HC Noord-Scharwoude,18/12/2024,van Rheineck,Ruinerwold Olympic Stadium,2064,3-0,10
Eerste klasse,Voorthuizen UHC,Nijemirdum UHC,21/12/2024,Hulst,Neede Stadion,9691,5-3,6
Eerste klasse,Voorthuizen UHC,Wieringerwaard HC,12/12/2024,van de Wal,Neede Stadion,5161,6-7,3
Eerste klasse,Voorthuizen UHC,Abbega UHC,29/12/2024,van de Wal,Zuidoostbeemster Stadion,28286,5-6,1
Eerste klasse,Voorthuizen UHC,Wekerom HC,16/12/2024,van Rooij,Rijswijk Stadium,10019,3-1,8
Eerste klasse,Voorthuizen UHC,Reading Hockey Club,01/12/2024,van de Wal,Ruinerwold Olympic Stadium,1696,4-7,1
Eerste klasse,Voorthuizen UHC,Waterloo Ducks,03/12/2024,Kalman,Tripscompagnie Stadion,18347,1-6,6
Eerste klasse,Voorthuizen UHC,Amsterdamsche Hockey & Bandey Club,07/12/2024,Kalman,Kiel-Windeweer Stadion,21969,8-0,2
Eerste klasse,Voorthuizen UHC,Hartwerd UHC,25/12/2024,van Schevinghuizen,Markenbinnen Park,2046,3-7,2
Eerste klasse,Voorthuizen UHC,UHC Hamburg,10/12/2024,van Schevinghuizen,Gorinchem Arena,19551,0-7,8
Eerste klasse,Voorthuizen UHC,HOC Gazellen-Combinatie,11/12/2024,van Schevinghuizen,Haarlo Arena,2270,4-5,92
Eerste klasse,Voorthuizen UHC,Harvestehuder THC,15/12/2024,van Schevinghuizen,Haghorst Stadion,16125,2-0,1
Eerste klasse,Voorthuizen UHC,Club de Campo,19/12/2024,Lankle,Kiel-Windeweer Stadion,17486,6-4,6
Eerste klasse,Voorthuizen UHC,HC Vinkeveen,10/12/2024,Lankle,Abbenes Stadium,8844,5-1,1
Eerste klasse,Voorthuizen UHC,Rot-Weiss Köln,01/12/2024,van Rheineck,Oost-Graftdijk Olympic Stadium,11352,6-2,3
Eerste klasse,Voorthuizen UHC,HC IJlst,15/12/2024,van Schevinghuizen,Markenbinnen Park,20522,5-8,3
Eerste klasse,Voorthuizen UHC,UHC Wolfheze,13/12/2024,van Schevinghuizen,Oost-Graftdijk Olympic Stadium,9769,7-6,4
Eerste klasse,Voorthuizen UHC,UHC Nijkerkerveen,05/12/2024,Hulst,Ruinerwold Olympic Stadium,16392,1-5,0
Eerste klasse,Voorthuizen UHC,Schipborg UHC,20/12/2024,Kalman,Molenaarsgraaf Stadium,8489,7-2,11
Eerste klasse,Voorthuizen UHC,HC Noord-Scharwoude,03/12/2024,van de Wal,Haghorst Stadion,12129,7-3,7
Eerste klasse,Waterloo Ducks,Nijemirdum UHC,28/12/2024,van Schevinghuizen,Haghorst Stadion,25105,4-7,1
Eerste klasse,Waterloo Ducks,Wieringerwaard HC,29/12/2024,van Schevinghuizen,Zuidoostbeemster Stadion,8794,7-0,7
Eerste klasse,Waterloo Ducks,Abbega UHC,19/12/2024,Hulst,Kerkrade Olympic Stadium,22161,0-7,4
Eerste klasse,Waterloo Ducks,Wekerom HC,30/12/2024,van Rheineck,Kerkrade Olympic Stadium,10458,2-7,3
Eerste klasse,Waterloo Ducks,Reading Hockey Club,11/12/2024,Kalman,Oost-Graftdijk Olympic Stadium,19955,1-8,4
Eerste klasse,Waterloo Ducks,Voorthuizen UHC,09/12/2024,de Heer,Rutten Arena,23844,7-8,10
Eerste klasse,Waterloo Ducks,Amsterdamsche Hockey & Bandey Club,19/12/2024,Hulst,Aartswoud Park,22675,8-7,3
Eerste klasse,Waterloo Ducks,Hartwerd UHC,04/12/2024,Lankle,Radio Kootwijk Stadion,1650,6-4,0
Eerste klasse,Waterloo Ducks,UHC Hamburg,21/12/2024,Bertho,Gorinchem Arena,10164,7-7,2
Eerste klasse,Waterloo Ducks,HOC Gazellen-Combinatie,12/12/2024,Hulst,Zuidoostbeemster Stadion,17960,4-1,0
Eerste klasse,Waterloo Ducks,Harvestehuder THC,14/12/2024,Lankle,Gorinchem Arena,16295,3-1,1
Eerste klasse,Waterloo Ducks,Club de Campo,28/12/2024,de Heer,Abbenes Stadium,3354,6-6,4
Eerste klasse,Waterloo Ducks,HC Vinkeveen,21/12/2024,Lankle,Woudsend Park,16995,5-0,2
Eerste klasse,Waterloo Ducks,Rot-Weiss Köln,14/12/2024,van Loon,Kerkrade Olympic Stadium,26398,4-2,1
Eerste klasse,Waterloo Ducks,HC IJlst,19/12/2024,de Heer,Molenaarsgraaf Stadium,26336,3-0,65
Eerste klasse,Waterloo Ducks,UHC Wolfheze,04/12/2024,Lankle,Oost-Graftdijk Olympic Stadium,11471,6-6,3
Eerste klasse,Waterloo Ducks,UHC Nijkerkerveen,28/12/2024,van Rheineck,Ruinerwold Olympic Stadium,10008,1-8,10
Eerste klasse,Waterloo Ducks,Schipborg UHC,12/12/2024,van Rooij,Haarle Arena,5990,2-3,1
Eerste klasse,Waterloo Ducks,HC Noord-Scharwoude,10/12/2024,van Loon,Kiel-Windeweer Stadion,8329,8-3,3
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Nijemirdum UHC,21/12/2024,Hulst,Neede Stadion,3035,3-7,5
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Wieringerwaard HC,04/12/2024,van Rheineck,Neede Stadion,19545,7-2,4
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Abbega UHC,16/12/2024,van Rooij,Tripscompagnie Stadion,21853,8-8,0
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Wekerom HC,30/12/2024,Bertho,Ruinerwold Olympic Stadium,29449,5-3,97
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Reading Hockey Club,27/12/2024,van Loon,Radio Kootwijk Stadion,23841,3-4,1
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Voorthuizen UHC,29/12/2024,van de Wal,Molenaarsgraaf Stadium,25191,1-2,1
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Waterloo Ducks,20/12/2024,van de Wal,Abbenes Stadium,4337,1-3,7
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Hartwerd UHC,13/12/2024,van Schevinghuizen,Markenbinnen Park,9296,0-1,0
Eerste klasse,Amsterdamsche Hockey & Bandey Club,UHC Hamburg,04/12/2024,van Schevinghuizen,Neede Stadion,29780,8-7,0
Eerste klasse,Amsterdamsche Hockey & Bandey Club,HOC Gazellen-Combinatie,01/12/2024,van de Wal,Molenaarsgraaf Stadium,24275,1-4,6
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Harvestehuder THC,16/12/2024,Kalman,Rutten Arena,14794,4-3,5
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Club de Campo,27/12/2024,van de Wal,Ruinerwold Olympic Stadium,2861,6-8,0
Eerste klasse,Amsterdamsche Hockey & Bandey Club,HC Vinkeveen,11/12/2024,Bertho,Woudsend Park,19371,4-7,2
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Rot-Weiss Köln,24/12/2024,van Schevinghuizen,Haghorst Stadion,202,4-1,7
Eerste klasse,Amsterdamsche Hockey & Bandey Club,HC IJlst,12/12/2024,van Rooij,Oost-Graftdijk Olympic Stadium,29649,6-7,3
Eerste klasse,Amsterdamsche Hockey & Bandey Club,UHC Wolfheze,29/12/2024,van Loon,Radio Kootwijk Stadion,29056,5-5,2
Eerste klasse,Amsterdamsche Hockey & Bandey Club,UHC Nijkerkerveen,14/12/2024,van Rooij,Aartswoud Park,29571,7-2,4
Eerste klasse,Amsterdamsche Hockey & Bandey Club,Schipborg UHC,30/12/2024,de Heer,Rutten Arena,18004,4-5,3
Eerste klasse,Amsterdamsche Hockey & Bandey Club,HC Noord-Scharwoude,15/12/2024,Kalman,Haghorst Stadion,17763,1-0,1
Eerste klasse,Hartwerd UHC,Nijemirdum UHC,24/12/2024,van Loon,Rijswijk Stadium,28871,6-1,49
Eerste klasse,Hartwerd UHC,Wieringerwaard HC,04/12/2024,Lankle,Neede Stadion,21246,5-5,0
Eerste klasse,Hartwerd UHC,Abbega UHC,18/12/2024,Bertho,Markenbinnen Park,6998,1-5,7
Eerste klasse,Hartwerd UHC,Wekerom HC,07/12/2024,van de Wal,Molenaarsgraaf Stadium,22936,5-7,7
Eerste klasse,Hartwerd UHC,Reading Hockey Club,11/12/2024,van de Wal,Haghorst Stadion,12456,7-7,3
Eerste klasse,Hartwerd UHC,Voorthuizen UHC,18/12/2024,Kalman,Abbenes Stadium,1202,7-3,7
Eerste klasse,Hartwerd UHC,Waterloo Ducks,22/12/2024,van Loon,Gerkesklooster Park,26633,3-3,9
Eerste klasse,Hartwerd UHC,Amsterdamsche Hockey & Bandey Club,18/12/2024,van Rheineck,Tripscompagnie Stadion,3142,8-7,1
Eerste klasse,Hartwerd UHC,UHC Hamburg,01/12/2024,van Loon,Woudsend Park,8275,4-2,93
Eerste klasse,Hartwerd UHC,HOC Gazellen-Combinatie,16/12/2024,van Rheineck,Haarlo Arena,8679,5-7,6
Eerste klasse,Hartwerd UHC,Harvestehuder THC,18/12/2024,van Schevinghuizen,Zuidoostbeemster Stadion,26629,6-6,1
Eerste klasse,Hartwerd UHC,Club de Campo,04/12/2024,Bertho,Haarle Arena,22362,0-5,4
Eerste klasse,Hartwerd UHC,HC Vinkeveen,26/12/2024,van Loon,Neede Stadion,20747,8-1,8
Eerste klasse,Hartwerd UHC,Rot-Weiss Köln,01/12/2024,van Loon,Markenbinnen Park,3068,7-5,1
Eerste klasse,Hartwerd UHC,HC IJlst,11/12/2024,van Loon,Tripscompagnie Stadion,3180,8-4,6
Eerste klasse,Hartwerd UHC,UHC Wolfheze,25/12/2024,Kalman,Gorinchem Arena,1004,7-2,3
Eerste klasse,Hartwerd UHC,UHC Nijkerkerveen,07/12/2024,van Loon,Aartswoud Park,14716,8-4,1
Eerste klasse,Hartwerd UHC,Schipborg UHC,11/12/2024,Kalman,Gerkesklooster Park,23599,0-8,10
Eerste klasse,Hartwerd UHC,HC Noord-Scharwoude,07/12/2024,Lankle,Oost-Graftdijk Olympic Stadium,27953,5-0,5
Eerste klasse,UHC Hamburg,Nijemirdum UHC,19/12/2024,Kalman,Kerkrade Olympic Stadium,17683,6-6,2
Eerste klasse,UHC Hamburg,Wieringerwaard HC,07/12/2024,van Schevinghuizen,Woudsend Park,21129,3-0,5
Eerste klasse,UHC Hamburg,Abbega UHC,07/12/2024,van Schevinghuizen,Aartswoud Park,14029,3-5,3
Eerste klasse,UHC Hamburg,Wekerom HC,26/12/2024,van de Wal,Tripscompagnie Stadion,10004,5-5,2
Eerste klasse,UHC Hamburg,Reading Hockey Club,03/12/2024,Lankle,Markenbinnen Park,9166,1-6,1
Eerste klasse,UHC Hamburg,Voorthuizen UHC,08/12/2024,van Rheineck,Molenaarsgraaf Stadium,25282,1-5,63
Eerste klasse,UHC Hamburg,Waterloo Ducks,30/12/2024,Bertho,Rijswijk Stadium,29062,8-4,2
Eerste klasse,UHC Hamburg,Amsterdamsche Hockey & Bandey Club,08/12/2024,van Rheineck,Woudsend Park,11681,3-5,3
Eerste klasse,UHC Hamburg,Hartwerd UHC,12/12/2024,van Rheineck,Kiel-Windeweer Stadion,17276,6-6,7
Eerste klasse,UHC Hamburg,HOC Gazellen-Combinatie,21/12/2024,van Rooij,Haarlo Arena,6529,6-2,3
Eerste klasse,UHC Hamburg,Harvestehuder THC,14/12/2024,van Rheineck,Rijswijk Stadium,8314,1-8,2
Eerste klasse,UHC Hamburg,Club de Campo,26/12/2024,Kalman,Kerkrade Olympic Stadium,14550,1-0,3
Eerste klasse,UHC Hamburg,HC Vinkeveen,14/12/2024,de Heer,Zuidoostbeemster Stadion,3899,5-5,2
Eerste klasse,UHC Hamburg,Rot-Weiss Köln,03/12/2024,van Loon,Aartswoud Park,17955,1-0,44
Eerste klasse,UHC Hamburg,HC IJlst,10/12/2024,Lankle,Zuidoostbeemster Stadion,21744,7-6,8
Eerste klasse,UHC Hamburg,UHC Wolfheze,08/12/2024,de Heer,Rijswijk Stadium,5790,1-1,0
Eerste klasse,UHC Hamburg,UHC Nijkerkerveen,01/12/2024,van Loon,Neede Stadion,24582,6-2,9
Eerste klasse,UHC Hamburg,Schipborg UHC,13/12/2024,van Rooij,Abbenes Stadium,28821,2-0,10
Eerste klasse,UHC Hamburg,HC Noord-Scharwoude,03/12/2024,Kalman,Neede Stadion,2940,3-8,1
Eerste klasse,HOC Gazellen-Combinatie,Nijemirdum UHC,23/12/2024,Hulst,Rijswijk Stadium,3104,2-8,6
Eerste klasse,HOC Gazellen-Combinatie,Wieringerwaard HC,15/12/2024,van Schevinghuizen,Woudsend Park,22932,8-3,8
Eerste klasse,HOC Gazellen-Combinatie,Abbega UHC,26/12/2024,Lankle,Kerkrade Olympic Stadium,29939,0-8,1
Eerste klasse,HOC Gazellen-Combinatie,Wekerom HC,17/12/2024,van Rooij,Woudsend Park,22491,1-4,9
Eerste klasse,HOC Gazellen-Combinatie,Reading Hockey Club,23/12/2024,van Rooij,Molenaarsgraaf Stadium,18985,4-5,5
Eerste klasse,HOC Gazellen-Combinatie,Voorthuizen UHC,21/12/2024,van Loon,Kiel-Windeweer Stadion,19126,5-0,3
Eerste klasse,HOC Gazellen-Combinatie,Waterloo Ducks,08/12/2024,van Rooij,Neede Stadion,27108,3-3,9
Eerste klasse,HOC Gazellen-Combinatie,Amsterdamsche Hockey & Bandey Club,21/12/2024,de Heer,Radio Kootwijk Stadion,18660,7-0,1
Eerste klasse,HOC Gazellen-Combinatie,Hartwerd UHC,22/12/2024,Hulst,Woudsend Park,23201,5-4,1
Eerste klasse,HOC Gazellen-Combinatie,UHC Hamburg,02/12/2024,van de Wal,Haghorst Stadion,9654,3-3,6
Eerste klasse,HOC Gazellen-Combinatie,Harvestehuder THC,17/12/2024,Lankle,Gorinchem Arena,24184,1-8,51
Eerste klasse,HOC Gazellen-Combinatie,Club de Campo,24/12/2024,van Schevinghuizen,Kerkrade Olympic Stadium,3600,7-8,1
Eerste klasse,HOC Gazellen-Combinatie,HC Vinkeveen,25/12/2024,de Heer,Neede Stadion,18690,7-3,5
Eerste klasse,HOC Gazellen-Combinatie,Rot-Weiss Köln,19/12/2024,Lankle,Markenbinnen Park,26392,0-2,10
Eerste klasse,HOC Gazellen-Combinatie,HC IJlst,13/12/2024,van Schevinghuizen,Kiel-Windeweer Stadion,20723,8-1,3
Eerste klasse,HOC Gazellen-Combinatie,UHC Wolfheze,05/12/2024,van de Wal,Tripscompagnie Stadion,9173,2-7,3
Eerste klasse,HOC Gazellen-Combinatie,UHC Nijkerkerveen,20/12/2024,van Schevinghuizen,Kiel-Windeweer Stadion,20851,4-8,0
Eerste klasse,HOC Gazellen-Combinatie,Schipborg UHC,18/12/2024,van Loon,Oost-Graftdijk Olympic Stadium,24495,3-8,0
Eerste klasse,HOC Gazellen-Combinatie,HC Noord-Scharwoude,19/12/2024,van Rooij,Oost-Graftdijk Olympic Stadium,9046,0-5,18
Eerste klasse,Harvestehuder THC,Nijemirdum UHC,17/12/2024,van Rheineck,Kerkrade Olympic Stadium,15956,8-7,4
Eerste klasse,Harvestehuder THC,Wieringerwaard HC,05/12/2024,de Heer,Oost-Graftdijk Olympic Stadium,28968,4-4,3
Eerste klasse,Harvestehuder THC,Abbega UHC,25/12/2024,van Schevinghuizen,Rutten Arena,7739,0-8,0
Eerste klasse,Harvestehuder THC,Wekerom HC,16/12/2024,Kalman,Rutten Arena,16120,0-8,6
Eerste klasse,Harvestehuder THC,Reading Hockey Club,30/12/2024,de Heer,Zuidoostbeemster Stadion,29928,6-7,1
Eerste klasse,Harvestehuder THC,Voorthuizen UHC,16/12/2024,van Schevinghuizen,Haarle Arena,3566,1-3,3
Eerste klasse,Harvestehuder THC,Waterloo Ducks,20/12/2024,van de Wal,Radio Kootwijk Stadion,10916,2-4,6
Eerste klasse,Harvestehuder THC,Amsterdamsche Hockey & Bandey Club,22/12/2024,van de Wal,Aartswoud Park,18035,3-0,0
